회사명,담당자명,직함,메일주소
가나상사,가상담당01,님,contact01@example.com
다라테크,가상담당02,사장님,contact02@example.com
마바유통,가상담당03,대표님,contact03@example.com
사아기획,가상담당04,님,contact04@example.com
자차물산,가상담당05,사장님,contact05@example.com
카타디자인,가상담당06,대표님,contact06@example.com
파하상점,가상담당07,님,contact07@example.com
나래문구,가상담당08,사장님,contact08@example.com
다온인쇄,가상담당09,대표님,contact09@example.com
라온도서,가상담당10,님,contact10@example.com
모아포장,가상담당11,사장님,contact11@example.com
바른기획,가상담당12,대표님,contact12@example.com
새봄소품,가상담당13,님,contact13@example.com
아침공방,가상담당14,사장님,contact14@example.com
자람상사,가상담당15,대표님,contact15@example.com
차곡유통,가상담당16,님,contact16@example.com
카누문구,가상담당17,사장님,contact17@example.com
토리서점,가상담당18,대표님,contact18@example.com
푸른포장,가상담당19,님,contact19@example.com
하루디자인,가상담당20,사장님,contact20@example.com
